A,B,C,D,target
704.0,838.0,446.0,206.0,6461.0
338.0,828.0,739.0,625.0,7792.5
255.0,251.0,532.0,554.0,4754.0
741.0,288.0,13.0,701.0,3462.5
832.0,878.0,877.0,925.0,10070.5
78.0,242.0,626.0,621.0,4943.5
745.0,473.0,526.0,204.0,5845.0
792.0,645.0,514.0,79.0,6207.5
319.0,752.0,157.0,373.0,4238.5
507.0,461.0,499.0,726.0,5981.0
7.0,808.0,375.0,847.0,5583.5
878.0,933.0,637.0,245.0,8107.5
55.0,519.0,785.0,772.0,6750.0
657.0,962.0,439.0,893.0,7734.5
736.0,48.0,403.0,236.0,3985.0
195.0,389.0,529.0,774.0,5363.0
143.0,889.0,953.0,11.0,7734.5
398.0,660.0,323.0,709.0,5454.5
304.0,774.0,204.0,752.0,5078.0
237.0,868.0,773.0,613.0,7862.5
96.0,733.0,989.0,549.0,8159.5
15.0,277.0,250.0,307.0,2571.5
559.0,259.0,504.0,652.0,5393.0
58.0,202.0,322.0,512.0,3100.0
6.0,95.0,868.0,567.0,5487.5
680.0,303.0,544.0,793.0,6178.5
688.0,68.0,225.0,210.0,3020.0
511.0,869.0,726.0,906.0,8618.0
827.0,787.0,255.0,792.0,6478.0
754.0,197.0,142.0,371.0,3365.5
509.0,889.0,830.0,498.0,8582.0
374.0,568.0,183.0,566.0,4216.0
914.0,53.0,989.0,159.0,7170.5
172.0,594.0,881.0,750.0,7656.0
416.0,715.0,461.0,515.0,6054.5
660.0,288.0,298.0,785.0,4851.5
216.0,333.0,57.0,730.0,2811.0
591.0,157.0,594.0,18.0,4650.0
165.0,266.0,459.0,224.0,3759.0
800.0,915.0,172.0,963.0,6649.5
537.0,962.0,99.0,587.0,5335.5
935.0,539.0,679.0,859.0,8170.5
914.0,533.0,987.0,158.0,8599.0
229.0,254.0,502.0,749.0,4853.5
615.0,307.0,431.0,153.0,4535.5
7.0,496.0,290.0,691.0,3988.5
721.0,93.0,566.0,522.0,5334.0
748.0,9.0,442.0,53.0,3812.5
862.0,262.0,837.0,848.0,7967.0
303.0,634.0,112.0,990.0,4553.0
872.0,269.0,106.0,565.0,3928.5
293.0,754.0,28.0,804.0,4194.0
123.0,145.0,917.0,132.0,5464.0
367.0,789.0,432.0,517.0,6036.5
236.0,238.0,761.0,391.0,5577.5
699.0,608.0,945.0,524.0,8733.0
605.0,892.0,291.0,25.0,5378.5
642.0,976.0,405.0,775.0,7399.5
441.0,253.0,575.0,336.0,5020.0
177.0,755.0,743.0,623.0,7268.5
892.0,180.0,5.0,922.0,3732.0
18.0,522.0,736.0,882.0,6605.0
377.0,479.0,455.0,763.0,5610.5
413.0,242.0,709.0,487.0,5827.5
620.0,437.0,474.0,562.0,5764.0
188.0,159.0,304.0,36.0,2427.0
521.0,145.0,500.0,244.0,4343.0
579.0,694.0,356.0,891.0,6356.5
630.0,285.0,859.0,952.0,7838.0
473.0,609.0,973.0,760.0,8778.0
959.0,566.0,474.0,512.0,6754.0
1.0,837.0,90.0,769.0,4116.5
484.0,436.0,174.0,353.0,3675.5
288.0,41.0,30.0,577.0,1714.5
284.0,718.0,60.0,187.0,3302.5
103.0,168.0,817.0,181.0,5066.5
525.0,721.0,866.0,83.0,7667.5
687.0,52.0,896.0,523.0,6794.5
22.0,567.0,377.0,200.0,3930.0
976.0,122.0,113.0,712.0,3951.0
676.0,121.0,656.0,329.0,5488.5
194.0,904.0,302.0,330.0,5105.0
598.0,573.0,564.0,529.0,6528.5
83.0,863.0,752.0,854.0,7796.0
965.0,49.0,467.0,110.0,4577.0
825.0,214.0,682.0,653.0,6681.5
171.0,19.0,552.0,667.0,4159.5
217.0,741.0,314.0,300.0,4677.0
859.0,666.0,339.0,751.0,6537.5
206.0,701.0,690.0,578.0,6832.0
27.0,625.0,683.0,211.0,5660.5
657.0,821.0,258.0,250.0,5442.0
847.0,95.0,197.0,338.0,3471.0
840.0,589.0,857.0,628.0,8674.0
673.0,971.0,155.0,640.0,5994.0
401.0,758.0,685.0,195.0,6793.5
687.0,89.0,728.0,959.0,6719.5
645.0,985.0,941.0,695.0,9992.5
261.0,707.0,723.0,366.0,6807.0
735.0,154.0,654.0,40.0,5262.0
427.0,661.0,388.0,723.0,5861.5
60.0,697.0,643.0,579.0,6294.5
981.0,23.0,852.0,443.0,6955.5
491.0,722.0,832.0,193.0,7597.5
314.0,133.0,472.0,398.0,3984.0
728.0,513.0,373.0,256.0,5244.0
508.0,532.0,681.0,794.0,7208.0
781.0,69.0,596.0,11.0,4765.5
387.0,794.0,438.0,251.0,5722.5
248.0,114.0,162.0,700.0,2698.0
750.0,833.0,301.0,532.0,6302.0
711.0,395.0,584.0,12.0,5545.0
268.0,675.0,531.0,186.0,5495.0
126.0,797.0,587.0,716.0,6652.0
363.0,151.0,222.0,617.0,3214.5
291.0,534.0,151.0,29.0,2982.5
273.0,523.0,893.0,545.0,7397.5
897.0,688.0,324.0,942.0,6891.0
443.0,605.0,877.0,589.0,7969.5
180.0,221.0,903.0,264.0,5934.0
271.0,635.0,779.0,349.0,6865.5
876.0,943.0,767.0,256.0,8800.0
53.0,897.0,511.0,438.0,6009.0
978.0,317.0,670.0,148.0,6479.0
300.0,504.0,2.0,893.0,3461.5
579.0,561.0,182.0,303.0,4205.5
697.0,122.0,784.0,337.0,6185.5
954.0,781.0,482.0,140.0,6871.0
298.0,969.0,164.0,738.0,5430.0
976.0,427.0,459.0,782.0,6701.0
731.0,221.0,115.0,215.0,3022.5
436.0,272.0,898.0,1000.0,7678.0
562.0,51.0,922.0,618.0,6814.0
702.0,160.0,711.0,818.0,6666.0
684.0,228.0,794.0,151.0,6248.5
241.0,397.0,375.0,350.0,4073.0
457.0,217.0,577.0,662.0,5443.0
454.0,407.0,473.0,344.0,5010.0
727.0,39.0,96.0,973.0,3510.5
290.0,677.0,471.0,588.0,5848.0
239.0,837.0,171.0,610.0,4759.0
494.0,684.0,752.0,948.0,8222.0
704.0,64.0,836.0,345.0,6297.5
56.0,561.0,929.0,751.0,7566.5
107.0,831.0,266.0,456.0,4721.0
