A,B,C,D,target
433.0,931.0,998.0,742.0,9762.0
275.0,124.0,558.0,415.0,4334.5
14.0,226.0,395.0,254.0,3062.0
130.0,561.0,655.0,61.0,5309.5
772.0,477.0,794.0,617.0,7870.5
432.0,746.0,526.0,414.0,6353.0
377.0,41.0,468.0,78.0,3334.0
171.0,76.0,978.0,907.0,6820.5
766.0,703.0,571.0,970.0,7951.0
929.0,263.0,327.0,924.0,5668.0
53.0,927.0,358.0,595.0,5569.5
871.0,306.0,544.0,552.0,6208.0
520.0,899.0,608.0,271.0,7183.5
619.0,563.0,204.0,887.0,5277.5
911.0,490.0,428.0,727.0,6522.5
507.0,627.0,297.0,882.0,5703.0
668.0,899.0,888.0,690.0,9508.0
992.0,82.0,921.0,707.0,7895.5
42.0,478.0,592.0,697.0,5523.5
316.0,61.0,742.0,906.0,5884.0
530.0,969.0,432.0,445.0,6794.5
326.0,671.0,607.0,138.0,5907.0
461.0,575.0,413.0,886.0,6041.0
780.0,400.0,725.0,780.0,7555.0
986.0,146.0,899.0,37.0,6960.5
216.0,324.0,295.0,164.0,3125.0
374.0,141.0,779.0,686.0,6095.0
194.0,11.0,10.0,644.0,1437.0
906.0,978.0,908.0,220.0,9616.0
867.0,805.0,792.0,91.0,8245.5
226.0,682.0,258.0,357.0,4323.5
884.0,572.0,189.0,475.0,5141.5
349.0,53.0,948.0,743.0,6711.5
172.0,16.0,400.0,528.0,3184.0
409.0,541.0,478.0,999.0,6329.5
136.0,679.0,771.0,710.0,7229.0
658.0,886.0,831.0,577.0,8994.5
319.0,840.0,160.0,435.0,4610.5
150.0,852.0,568.0,856.0,6980.0
127.0,430.0,21.0,617.0,2574.5
840.0,172.0,63.0,938.0,3918.0
644.0,807.0,13.0,608.0,4686.0
63.0,610.0,336.0,174.0,3897.0
142.0,603.0,478.0,361.0,5024.5
773.0,708.0,974.0,230.0,8885.0
206.0,389.0,11.0,642.0,2597.0
273.0,772.0,668.0,811.0,7418.5
243.0,981.0,204.0,778.0,5616.0
4.0,319.0,539.0,318.0,4137.0
509.0,781.0,399.0,368.0,5908.0
909.0,258.0,756.0,140.0,6582.0
86.0,577.0,710.0,202.0,5756.0
70.0,178.0,791.0,153.0,4858.5
884.0,578.0,575.0,219.0,6705.5
797.0,954.0,491.0,695.0,7953.5
802.0,625.0,964.0,698.0,9346.0
174.0,531.0,827.0,270.0,6481.0
580.0,195.0,712.0,83.0,5429.5
753.0,342.0,472.0,429.0,5535.5
631.0,998.0,819.0,758.0,9488.0
824.0,560.0,62.0,342.0,4151.0
856.0,356.0,914.0,851.0,8626.5
687.0,889.0,698.0,38.0,7588.0
817.0,546.0,615.0,111.0,6513.5
950.0,18.0,818.0,610.0,6959.0
919.0,593.0,686.0,786.0,8226.0
818.0,615.0,860.0,55.0,7863.5
132.0,320.0,126.0,894.0,3195.0
950.0,311.0,697.0,389.0,6901.5
8.0,653.0,690.0,9.0,5438.5
651.0,13.0,367.0,731.0,4272.5
484.0,827.0,307.0,458.0,5671.0
687.0,680.0,511.0,566.0,6818.0
948.0,267.0,640.0,7.0,5907.5
348.0,477.0,570.0,560.0,5817.0
498.0,575.0,170.0,544.0,4387.0
549.0,673.0,489.0,729.0,6655.5
935.0,242.0,9.0,999.0,4139.5
581.0,745.0,130.0,121.0,4228.5
591.0,671.0,948.0,518.0,8712.0
621.0,918.0,393.0,368.0,6513.0
964.0,11.0,487.0,616.0,5320.0
457.0,53.0,190.0,494.0,2764.0
673.0,6.0,671.0,524.0,5505.0
237.0,237.0,744.0,862.0,6198.0
44.0,372.0,728.0,337.0,5349.5
360.0,651.0,75.0,382.0,3621.0
290.0,140.0,674.0,322.0,4853.0
563.0,568.0,992.0,625.0,8727.5
375.0,531.0,863.0,553.0,7487.5
576.0,926.0,69.0,77.0,4390.5
753.0,740.0,162.0,665.0,5533.5
414.0,768.0,179.0,239.0,4385.5
408.0,92.0,650.0,71.0,4448.5
225.0,869.0,998.0,971.0,9503.5
757.0,260.0,848.0,623.0,7468.5
352.0,53.0,715.0,886.0,5767.0
329.0,346.0,229.0,642.0,3804.0
522.0,949.0,877.0,494.0,9017.0
559.0,41.0,410.0,954.0,4722.0
428.0,322.0,503.0,307.0,4797.5
86.0,27.0,851.0,241.0,4869.5
287.0,923.0,1.0,778.0,4515.0
992.0,293.0,496.0,813.0,6562.5
416.0,766.0,282.0,453.0,5219.5
188.0,209.0,160.0,822.0,3036.0
331.0,664.0,608.0,89.0,5827.5
181.0,976.0,396.0,572.0,6128.0
698.0,924.0,247.0,713.0,6472.5
940.0,75.0,513.0,807.0,5880.5
128.0,51.0,505.0,865.0,4231.5
113.0,929.0,197.0,133.0,4197.5
629.0,565.0,373.0,341.0,5329.5
789.0,729.0,208.0,160.0,5045.0
243.0,294.0,910.0,149.0,6141.5
18.0,271.0,596.0,305.0,4286.5
543.0,599.0,270.0,797.0,5428.5
3.0,736.0,234.0,254.0,3765.0
24.0,445.0,131.0,25.0,2075.5
100.0,262.0,250.0,656.0,3220.0
757.0,72.0,581.0,402.0,5238.0
207.0,59.0,748.0,56.0,4415.0
908.0,137.0,231.0,14.0,3403.0
596.0,604.0,170.0,737.0,4959.5
136.0,750.0,139.0,338.0,3724.0
857.0,556.0,128.0,586.0,4901.0
686.0,477.0,817.0,431.0,7534.5
16.0,164.0,328.0,660.0,3154.0
999.0,916.0,244.0,487.0,6696.5
450.0,537.0,781.0,593.0,7305.5
549.0,229.0,79.0,51.0,2256.5
857.0,418.0,687.0,669.0,7406.5
38.0,432.0,897.0,440.0,6517.0
480.0,237.0,867.0,684.0,7032.0
620.0,818.0,810.0,471.0,8450.5
595.0,447.0,980.0,842.0,8694.0
706.0,827.0,527.0,251.0,6904.5
965.0,829.0,987.0,203.0,9656.5
968.0,827.0,993.0,789.0,10565.5
643.0,247.0,506.0,220.0,4887.0
86.0,50.0,122.0,779.0,2100.5
59.0,288.0,729.0,747.0,5747.5
898.0,540.0,29.0,738.0,4668.0
763.0,639.0,75.0,430.0,4463.0
346.0,440.0,466.0,53.0,4421.5
854.0,318.0,754.0,960.0,7872.0
524.0,171.0,485.0,455.0,4668.5
1.0,267.0,216.0,900.0,3233.0
574.0,84.0,818.0,827.0,6730.5
762.0,598.0,888.0,268.0,8160.0
68.0,813.0,223.0,904.0,5046.0
220.0,516.0,595.0,158.0,5200.0
545.0,210.0,343.0,299.0,3883.5
57.0,489.0,990.0,219.0,6859.5
981.0,598.0,690.0,744.0,8322.0
451.0,647.0,815.0,770.0,8073.0
621.0,13.0,532.0,787.0,5121.5
372.0,731.0,857.0,284.0,7648.0
325.0,376.0,631.0,751.0,6059.5
198.0,278.0,116.0,960.0,3250.0
561.0,34.0,68.0,173.0,1823.5
101.0,189.0,352.0,485.0,3256.5
527.0,73.0,733.0,429.0,5581.5
923.0,787.0,298.0,109.0,5860.5
91.0,766.0,950.0,23.0,7264.5
426.0,494.0,350.0,182.0,4357.0
182.0,113.0,634.0,202.0,4176.0
736.0,286.0,979.0,354.0,7756.0
465.0,727.0,44.0,315.0,3803.5
943.0,733.0,47.0,739.0,5428.5
103.0,544.0,795.0,468.0,6515.0
819.0,647.0,933.0,701.0,9295.5
246.0,60.0,131.0,756.0,2461.0
506.0,569.0,275.0,351.0,4620.5
752.0,418.0,142.0,252.0,3846.0
496.0,312.0,896.0,492.0,7146.0
681.0,212.0,57.0,411.0,2899.5
58.0,877.0,364.0,822.0,5800.0
541.0,49.0,363.0,564.0,3890.0
15.0,247.0,140.0,498.0,2218.0
183.0,965.0,756.0,713.0,8110.5
653.0,246.0,178.0,207.0,3244.5
113.0,682.0,34.0,178.0,2709.0
613.0,461.0,478.0,742.0,6112.0
943.0,468.0,226.0,523.0,5204.5
